time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.414029	3	1	3	1401	0.00302856
0.415029	3	1	3	1401	0.00302856
0.416029	3	1	3	1401	0.00302856
0.417029	3	1	3	1401	0.00302856
0.418029	3	1	3	1401	0.00302856
0.419029	3	1	3	1401	0.00302856
0.419243	3	1	3	798	0.00224286
0.420029	1	1	3	1401	0.00802856
0.421029	1	1	3	1401	0.00802856
0.422029	1	1	3	1401	0.00802856
0.423029	1	1	3	1401	0.00802856
0.424029	1	1	3	1401	0.0130286
0.425029	1	1	3	1401	0.00302856
0.425243	1	1	3	798	0.00224286
