time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.415029	3	1	3	1530	0.00502467
0.416029	3	1	3	1530	0.00602216
0.417029	3	1	3	1530	0.00701965
0.418029	3	1	3	1530	0.00801714
0.419029	3	1	3	1530	0.00901463
0.419243	3	1	3	1530	0.00922641
0.424029	1	1	3	1530	0.0140259
0.424029	1	1	3	1530	0.0140234
0.424029	1	1	3	1530	0.0140209
0.424029	1	1	3	1530	0.0140184
0.425029	1	1	3	1530	0.0150159
0.425243	1	1	3	1530	0.0152277
